keys,word1,word2,Tweets
"""el vlog""",el,vlog,el vlog 2 de felix  song of the year god's menu by stray kids     # 
"""el vlog""",el,vlog, i’m excited for el vlog
"""el vlog""",el,vlog,george en el vlog de tommy....i just... 
"""el vlog""",el,vlog,el vlog lets gooo
"""el vlog""",el,vlog,mark sube el vlog de disney a tu canal de youtube please   
"""la uni""",la,uni,before pandemic vs now. la uni acabando   
"""la uni""",la,uni,before the pandemic vs now  la misma vaina pero sin ir a joder a la uni  
"""la uni""",la,uni,mmm terminar la uni  ?   song of the year god's menu by stray kids      # 
"""la uni""",la,uni,la uni dijo    you’re taking classes raw  
"""la uni""",la,uni,and that's why vaig anar a uk a fer la uni i no la pagaré mai 
"""la uni""",la,uni,la gent realment treu bones notes a la uni? mmm...okay... couldn't be me...but go off i guess  nerds
"""la uni""",la,uni,terminando la uni  song of the year god's menu by stray kids   album of the year go live by stray kids     # 
"""la uni""",la,uni,ingresar a la uni en un buen puesto  song of the year god's menu by stray kids    album of the year go live by stray kids      # 
"""la uni""",la,uni,"in the white room they were teaching the kids the taylor's series, smt that someone normally learns at university.  en la wr les estaban enseñando a los críos la serie de taylor, alfo que normalmente enseñan en la uni. "
"""la uni""",la,uni,voy a ir a la uni   song of the year god's menu by stray kids    album of the year go live by stray kids       # 
"""la uni""",la,uni,por iniciar la uni  song of the year god's menu by stray kids    album of the year go live by stray kids       # 
"""la uni""",la,uni,bad bunny is getting me through these hw days and nights just like he said  si tienes trabajo de la uni yo te ayudo  so it’s only right that when i graduate it’ll be a bad bunny party 
"""la uni""",la,uni,would yall bully me si voy a la uni asi con draco? 
"""la uni""",la,uni, haha i understand la. uni busy. and games take time
"""la uni""",la,uni,congrats all x kesah la uni mana korg belajar you've to proud of yourself. study hard okay or namjoon will shave your eyebrows 
"""la uni""",la,uni,  no va a la uni. watch until the end.
"""la uni""",la,uni, era lo de la uni de corea but it's solved now!!!! aaaah im so happy
"""la uni""",la,uni, la uni dice que i should take a language que valla con mi research and that’s none of them so i wanna learn latin
"""la uni""",la,uni,nunca he pintado con óleo and i suck at coloring but i’ll be living my yaguchi yatora fantasy cuando entre a la uni and i’m gonna learn so much shit get prepared for my artist arc
"""la uni""",la,uni,"el support system que se crea en la uni. that's it, that's the tweet"
"""la uni""",la,uni," solo 4, wannabe, ultimo, honeybee y cant sleep. la uni me puede"
"""la uni""",la,uni,despues de dos semanas queriendo morir por la uni he vuelto a la vida gracias a 15min viendo reels de bts. they saved me everytime i just want to quit life so 
"""este weekend""",este,weekend,i just made 3 flyers. graphic design is my passion. see you este weekend! 
"""este weekend""",este,weekend,10/10 este weekend 🤩
"""este weekend""",este,weekend,10/10 a este weekend
"""este weekend""",este,weekend,este weekend 10/10
"""este weekend""",este,weekend,wow clase bacanal este weekend ando 🤯🤯🤯🤯
"""este weekend""",este,weekend,"twilight en netflix, a mi nadie me saca de casa este weekend 🥰"
"""este weekend""",este,weekend,este weekend empieza mi birthday week 
"""este weekend""",este,weekend,este weekend es un weekend para never have i ever season 2 super recomendada!
"""este weekend""",este,weekend,este weekend promete 🤪
"""este weekend""",este,weekend,este weekend  
"""este weekend""",este,weekend,este weekend toca cine
"""este weekend""",este,weekend, yo este weekend 
"""este weekend""",este,weekend,este weekend promete.
"""este weekend""",este,weekend,este weekend promete
