keys,freq,word1,word2
"""rampal ji""",929,rampal,ji
"""k sath""",244,k,sath
"""pakistan ka""",235,pakistan,ka
"""kr k""",219,kr,k
"""congress ki""",215,congress,ki
"""congress party""",212,congress,party
"""k liye""",199,k,liye
"""army ki""",195,army,ki
"""imran khan""",180,imran,khan
"""congress ne""",175,congress,ne
"""army ne""",171,army,ne
"""block kar""",171,block,kar
"""k pass""",158,k,pass
"""army ko""",155,army,ko
"""in logo""",144,in,logo
"""pakistan k""",144,pakistan,k
"""muslims ko""",140,muslims,ko
"""india k""",139,india,k
"""of india""",133,of,india
"""h to""",130,h,to
"""kr diya""",122,kr,diya
"""is bar""",119,is,bar
"""twitter par""",119,twitter,par
"""on u""",118,on,u
"""rahy hain""",117,rahy,hain
"""k lie""",111,k,lie
"""govt ko""",110,govt,ko
"""to ap""",108,to,ap
"""army ke""",103,army,ke
"""congress ka""",103,congress,ka
"""block kiya""",102,block,kiya
"""pakistan ne""",101,pakistan,ne
"""congress ko""",101,congress,ko
"""in sha""",99,in,sha
"""media pe""",98,media,pe
"""to india""",96,to,india
"""help kar""",94,help,kar
"""de rhe""",94,de,rhe
"""k log""",93,k,log
"""modi ji""",93,modi,ji
"""army ka""",91,army,ka
"""logo k""",91,logo,k
"""ap logo""",86,ap,logo
"""sonia gandhi""",84,sonia,gandhi
"""congress me""",84,congress,me
"""or kashmir""",84,or,kashmir
"""ap k""",83,ap,k
"""or na""",83,or,na
"""me to""",83,me,to
"""congress ke""",82,congress,ke
"""govt ne""",81,govt,ne
"""be like""",80,be,like
"""on you""",80,on,you
"""thank you""",78,thank,you
"""terrorist ko""",77,terrorist,ko
"""is eid""",75,is,eid
"""in k""",75,in,k
"""is k""",74,is,k
"""k bare""",73,k,bare
"""or ye""",73,or,ye
"""family se""",73,family,se
"""family ko""",73,family,ko
"""request hai""",73,request,hai
"""muslims ki""",72,muslims,ki
"""family ke""",70,family,ke
"""to tum""",69,to,tum
"""pakistan ko""",69,pakistan,ko
"""media par""",68,media,par
"""delete kar""",68,delete,kar
"""army se""",67,army,se
"""govt ki""",67,govt,ki
"""i am""",66,i,am
"""sant shri""",66,sant,shri
"""school me""",65,school,me
"""happy raksha""",64,happy,raksha
"""ap log""",64,ap,log
"""change kar""",64,change,kar
"""muslims k""",64,muslims,k
"""hy k""",64,hy,k
"""hy na""",63,hy,na
"""media ko""",63,media,ko
"""or ha""",60,or,ha
"""and kashmir""",60,and,kashmir
"""or hum""",60,or,hum
"""family ki""",60,family,ki
"""fake news""",59,fake,news
"""k bad""",59,k,bad
"""q k""",59,q,k
"""via namo""",59,via,namo
"""k logo""",58,k,logo
"""ap ki""",58,ap,ki
"""government ko""",58,government,ko
"""is main""",58,is,main
"""or pakistan""",58,or,pakistan
"""august ko""",58,august,ko
"""band kr""",57,band,kr
"""army k""",56,army,k
"""the way""",56,the,way
"""us k""",56,us,k
"""reject kar""",55,reject,kar
"""police ne""",55,police,ne
"""pilot ko""",55,pilot,ko
"""use kr""",55,use,kr
"""indians ko""",55,indians,ko
"""or tum""",54,or,tum
"""se to""",54,se,to
"""day hai""",54,day,hai
"""to is""",53,to,is
"""border par""",53,border,par
"""family ka""",53,family,ka
"""good morning""",53,good,morning
"""support kr""",53,support,kr
"""to u""",53,to,u
"""day ki""",53,day,ki
"""saint ram""",52,saint,ram
"""or india""",52,or,india
"""help nahi""",52,help,nahi
"""kr rha""",52,kr,rha
"""to ni""",52,to,ni
"""in ka""",52,in,ka
"""muslims ka""",51,muslims,ka
"""ko support""",51,ko,support
"""govt ke""",51,govt,ke
"""to phr""",51,to,phr
"""leaders ko""",51,leaders,ko
"""pm imran""",51,pm,imran
"""normal hai""",50,normal,hai
"""tweet kar""",50,tweet,kar
"""area me""",49,area,me
"""me ek""",49,me,ek
"""tweeter par""",49,tweeter,par
"""de rahe""",49,de,rahe
"""media ki""",49,media,ki
"""to us""",49,to,us
"""in ko""",49,in,ko
"""hospital me""",48,hospital,me
"""state me""",48,state,me
"""help kare""",48,help,kare
"""to pakistan""",48,to,pakistan
"""or us""",48,or,us
"""in ki""",48,in,ki
"""thank u""",48,thank,u
"""de raha""",47,de,raha
"""last time""",47,last,time
"""but ye""",47,but,ye
"""is se""",47,is,se
"""group d""",47,group,d
"""in india""",47,in,india
"""border pe""",46,border,pe
"""to akki""",46,to,akki
"""start ho""",46,start,ho
"""nhi kr""",46,nhi,kr
"""soldiers ko""",46,soldiers,ko
"""kr de""",45,kr,de
"""government ne""",45,government,ne
"""pakistan zindabad""",45,pakistan,zindabad
"""with you""",45,with,you
"""for you""",45,for,you
"""list me""",45,list,me
"""hone se""",44,hone,se
"""name is""",44,name,is
"""indians ki""",44,indians,ki
"""congress se""",44,congress,se
"""pakistan ki""",44,pakistan,ki
"""terrorist hai""",44,terrorist,hai
"""hy to""",44,hy,to
"""media ne""",44,media,ne
"""kr dia""",44,kr,dia
"""kr do""",44,kr,do
"""triple talaq""",43,triple,talaq
"""us time""",43,us,time
"""world me""",43,world,me
"""army me""",43,army,me
"""ne to""",43,ne,to
"""or desh""",42,or,desh
"""is ki""",42,is,ki
"""so much""",42,so,much
"""me sir""",42,me,sir
"""issue pe""",42,issue,pe
"""to nhi""",42,to,nhi
"""congress k""",42,congress,k
"""de do""",42,de,do
"""ap se""",41,ap,se
"""news me""",41,news,me
"""congress aur""",41,congress,aur
"""google kar""",41,google,kar
"""support me""",41,support,me
"""economy ki""",41,economy,ki
"""or is""",41,or,is
"""army hai""",41,army,hai
"""help ki""",41,help,ki
"""ki baat""",41,ki,baat
"""in kashmir""",41,in,kashmir
"""map se""",40,map,se
"""army pe""",40,army,pe
"""support kar""",40,support,kar
"""sab k""",40,sab,k
"""to say""",40,to,say
"""he na""",40,he,na
"""or ab""",40,or,ab
"""court ne""",40,court,ne
"""loc pe""",40,loc,pe
"""is tweet""",39,is,tweet
"""news ka""",39,news,ka
"""president nahi""",39,president,nahi
"""level ka""",39,level,ka
"""important hai""",39,important,hai
"""ke liye""",39,ke,liye
"""suicide kar""",38,suicide,kar
"""log hi""",38,log,hi
"""world cup""",38,world,cup
"""k naam""",38,k,naam
"""ki to""",38,ki,to
"""ke bare""",38,ke,bare
"""parliament me""",38,parliament,me
"""tweet kr""",38,tweet,kr
"""debate me""",37,debate,me
"""rahy ga""",37,rahy,ga
"""sb ko""",37,sb,ko
"""to nahi""",37,to,nahi
"""govt ka""",37,govt,ka
"""case me""",37,case,me
"""trump ne""",37,trump,ne
"""twitter use""",37,twitter,use
"""hone ke""",37,hone,ke
"""he or""",36,he,or
"""krne k""",36,krne,k
"""to me""",36,to,me
"""k pakistan""",36,k,pakistan
"""k us""",36,k,us
"""congress wale""",36,congress,wale
"""zaid hamid""",36,zaid,hamid
"""cow ka""",36,cow,ka
"""day mana""",36,day,mana
"""to bs""",36,to,bs
"""kr di""",36,kr,di
"""time waste""",36,time,waste
"""ni h""",36,ni,h
"""kr rhe""",36,kr,rhe
"""krne se""",36,krne,se
"""band kar""",35,band,kar
"""channel par""",35,channel,par
"""defend kar""",35,defend,kar
"""wish kr""",35,wish,kr
"""he is""",35,he,is
"""level pe""",35,level,pe
"""school mein""",35,school,mein
"""use kar""",35,use,kar
"""ko b""",35,ko,b
"""trend kar""",35,trend,kar
"""is chutiye""",34,is,chutiye
"""pakistan me""",34,pakistan,me
"""he to""",34,he,to
"""month se""",34,month,se
"""help karo""",34,help,karo
"""ka wait""",34,ka,wait
"""accept kar""",34,accept,kar
"""indira gandhi""",34,indira,gandhi
"""k saath""",34,k,saath
"""cm sir""",34,cm,sir
"""h ab""",34,h,ab
"""occupied kashmir""",34,occupied,kashmir
"""twitter se""",34,twitter,se
"""to kar""",34,to,kar
"""promote kar""",34,promote,kar
"""channel ko""",34,channel,ko
"""logo ko""",34,logo,ko
"""h ya""",33,h,ya
"""ne surrender""",33,ne,surrender
"""media ke""",33,media,ke
"""new india""",33,new,india
"""to imran""",33,to,imran
"""me se""",33,me,se
"""ko follow""",33,ko,follow
"""or ap""",33,or,ap
"""media ka""",33,media,ka
"""un k""",33,un,k
"""attack kar""",33,attack,kar
"""train me""",33,train,me
"""change kiya""",33,change,kiya
"""indian army""",32,indian,army
"""m to""",32,m,to
"""b to""",32,b,to
"""tweeter pe""",32,tweeter,pe
"""award mila""",32,award,mila
