keys,freq,word1,word2
"""saint rampal""",838,saint,rampal
"""pak army""",349,pak,army
"""indian army""",294,indian,army
"""hai to""",239,hai,to
"""hai or""",207,hai,or
"""shame on""",204,shame,on
"""hota hy""",196,hota,hy
"""hota to""",195,hota,to
"""he or""",191,he,or
"""tha to""",189,tha,to
"""me to""",187,me,to
"""hain or""",169,hain,or
"""fake news""",168,fake,news
"""ye to""",168,ye,to
"""rhe the""",157,rhe,the
"""ho to""",151,ho,to
"""he is""",148,he,is
"""pakistan k""",144,pakistan,k
"""ha or""",133,ha,or
"""se to""",132,se,to
"""h to""",128,h,to
"""us k""",127,us,k
"""ko support""",125,ko,support
"""h or""",124,h,or
"""he to""",117,he,to
"""hai and""",113,hai,and
"""plz help""",108,plz,help
"""ne to""",108,ne,to
"""i think""",107,i,think
"""tum log""",105,tum,log
"""my name""",100,my,name
"""ko b""",99,ko,b
"""thi or""",97,thi,or
"""kr k""",95,kr,k
"""i am""",94,i,am
"""ga pakistan""",90,ga,pakistan
"""ki to""",88,ki,to
"""you are""",85,you,are
"""hota or""",83,hota,or
"""india me""",80,india,me
"""log to""",80,log,to
"""ko to""",80,ko,to
"""pakistan ka""",80,pakistan,ka
"""this is""",80,this,is
"""hota h""",79,hota,h
"""ye tweet""",79,ye,tweet
"""wo to""",79,wo,to
"""band kr""",77,band,kr
"""hi to""",73,hi,to
"""ho k""",71,ho,k
"""pakistan ki""",69,pakistan,ki
"""kashmir issue""",68,kashmir,issue
"""we are""",66,we,are
"""hai but""",66,hai,but
"""kar k""",65,kar,k
"""ap log""",65,ap,log
"""me he""",65,me,he
"""hai ki""",65,hai,ki
"""thank you""",63,thank,you
"""tu to""",63,tu,to
"""se congress""",63,se,congress
"""ja k""",63,ja,k
"""ki economy""",62,ki,economy
"""india ke""",62,india,ke
"""sab k""",61,sab,k
"""pakistani army""",61,pakistani,army
"""i m""",61,i,m
"""i have""",61,i,have
"""ko v""",60,ko,v
"""pakistan ko""",60,pakistan,ko
"""hai is""",60,hai,is
"""ab is""",59,ab,is
"""jata hy""",59,jata,hy
"""u r""",59,u,r
"""jati h""",58,jati,h
"""ki congress""",58,ki,congress
"""bat he""",58,bat,he
"""aur army""",58,aur,army
"""allah pak""",57,allah,pak
"""ap k""",57,ap,k
"""pakistan ke""",57,pakistan,ke
"""good morning""",56,good,morning
"""to is""",56,to,is
"""jo b""",55,jo,b
"""the to""",55,the,to
"""un k""",55,un,k
"""in k""",55,in,k
"""se or""",54,se,or
"""sadhna tv""",54,sadhna,tv
"""meri help""",53,meri,help
"""kashmir is""",53,kashmir,is
"""ni h""",52,ni,h
"""ap ny""",52,ap,ny
"""india k""",52,india,k
"""pakistan me""",52,pakistan,me
"""k bad""",52,k,bad
"""mil k""",51,mil,k
"""hai twitter""",51,hai,twitter
"""pakistan army""",50,pakistan,army
"""se ek""",50,se,ek
"""logo ne""",50,logo,ne
"""abhi to""",50,abhi,to
"""modi or""",50,modi,or
"""se pakistan""",50,se,pakistan
"""i was""",50,i,was
"""hu but""",49,hu,but
"""hai k""",49,hai,k
"""kr rahy""",48,kr,rahy
"""gandhi family""",48,gandhi,family
"""kashmir per""",48,kashmir,per
"""mar k""",47,mar,k
"""ko or""",47,ko,or
"""koi help""",47,koi,help
