keys,freq,word1,word2
"""el vlog""",224,el,vlog
"""imagen modeling""",63,imagen,modeling
"""la uni""",34,la,uni
"""este weekend""",27,este,weekend
"""noches zombers""",25,noches,zombers
"""al gym""",18,al,gym
"""fiesta latingrammy""",18,fiesta,latingrammy
"""un nap""",16,un,nap
"""dias zombers""",14,dias,zombers
"""mi look""",14,mi,look
"""la app""",14,la,app
"""un break""",13,un,break
"""mis zombers""",13,mis,zombers
"""un tweet""",13,un,tweet
"""el look""",13,el,look
"""que annoying""",13,que,annoying
"""elvacilondelagatita quotes""",13,elvacilondelagatita,quotes
"""chica gamer""",12,chica,gamer
"""el weekend""",12,el,weekend
"""que cool""",12,que,cool
"""un look""",12,un,look
"""el show""",11,el,show
"""de show""",11,de,show
"""el gym""",11,el,gym
"""tu outfit""",11,tu,outfit
"""que cute""",11,que,cute
"""elvacilondelagatita quote""",11,elvacilondelagatita,quote
"""me has""",10,me,has
"""de techtrivia""",10,de,techtrivia
"""pa 'l""",9,pa,'l
"""y to""",9,y,to
"""plan more""",9,plan,more
"""en to""",9,en,to
"""mi prom""",8,mi,prom
"""mi honey""",8,mi,honey
"""los zombers""",8,los,zombers
"""un roadtrip""",8,un,roadtrip
"""un weekend""",8,un,weekend
"""en shock""",7,en,shock
"""hay break""",7,hay,break
"""del nap""",7,del,nap
"""pero i""",7,pero,i
"""que show""",7,que,show
"""que i""",7,que,i
"""este tweet""",7,este,tweet
"""del vlog""",7,del,vlog
"""te fucking""",6,te,fucking
"""no lol""",6,no,lol
"""pos wow""",6,pos,wow
"""jajaja i""",6,jajaja,i
"""mi birthday""",6,mi,birthday
"""el season""",6,el,season
"""mi dad""",6,mi,dad
"""hay vlog""",6,hay,vlog
"""que fucking""",6,que,fucking
"""un get""",6,un,get
"""este outfit""",6,este,outfit
"""via app""",6,via,app
"""ya ready""",6,ya,ready
"""de cheer""",6,de,cheer
"""ñana morningwin""",5,ñana,morningwin
"""ganalealamanana morningwin""",5,ganalealamanana,morningwin
"""mi crush""",5,mi,crush
"""el playlist""",5,el,playlist
"""el party""",5,el,party
"""bien cool""",5,bien,cool
"""de zomber""",5,de,zomber
"""el tweet""",5,el,tweet
"""ese tweet""",5,ese,tweet
"""en read""",5,en,read
"""ese feeling""",5,ese,feeling
"""mi sister""",5,mi,sister
"""creo lol""",5,creo,lol
"""no more""",5,no,more
"""mi top""",5,mi,top
"""un text""",5,un,text
"""los haters""",5,los,haters
"""el hashtag""",5,el,hashtag
"""tan cute""",5,tan,cute
"""del gym""",5,del,gym
"""tan cool""",5,tan,cool
"""un outfit""",5,un,outfit
"""no matter""",5,no,matter
"""el link""",5,el,link
"""el app""",5,el,app
"""tu smartphone""",5,tu,smartphone
"""elvacilondelagatita happy""",5,elvacilondelagatita,happy
"""elvacilondelagatita good""",5,elvacilondelagatita,good
"""de roadtrip""",5,de,roadtrip
"""de zombers""",5,de,zombers
"""de halloween""",4,de,halloween
"""elvacilondelagatita morningshow""",4,elvacilondelagatita,morningshow
"""ese show""",4,ese,show
"""un icee""",4,un,icee
"""mi nap""",4,mi,nap
"""dale like""",4,dale,like
"""días zombers""",4,días,zombers
"""de the""",4,de,the
"""a full""",4,a,full
"""es okay""",4,es,okay
"""jajaja jk""",4,jajaja,jk
"""en younow""",4,en,younow
"""primer vlog""",4,primer,vlog
"""por dm""",4,por,dm
"""en yellowmellow""",4,en,yellowmellow
"""el nap""",4,el,nap
"""mis tweets""",4,mis,tweets
"""en stock""",4,en,stock
"""demasiado accurate""",4,demasiado,accurate
"""en high""",4,en,high
"""tu story""",4,tu,story
"""el struggle""",4,el,struggle
"""los latingrammy""",4,los,latingrammy
"""muy fashion""",4,muy,fashion
"""gracias friend""",4,gracias,friend
"""mi team""",4,mi,team
"""la red""",4,la,red
"""nuestra red""",4,nuestra,red
"""respuesta techtrivia""",4,respuesta,techtrivia
"""elvacilondelagatita friday""",4,elvacilondelagatita,friday
"""elvacilondelagatita halloween""",4,elvacilondelagatita,halloween
"""el prom""",4,el,prom
"""a to""",4,a,to
"""mi fucking""",4,mi,fucking
"""con honey""",4,con,honey
"""mi squad""",4,mi,squad
"""a rt""",3,a,rt
"""mi morningwin""",3,mi,morningwin
"""mas cool""",3,mas,cool
"""más cute""",3,más,cute
"""jajaja so""",3,jajaja,so
"""en mute""",3,en,mute
"""mi tweet""",3,mi,tweet
"""que lol""",3,que,lol
"""estoy ready""",3,estoy,ready
"""al work""",3,al,work
"""un party""",3,un,party
"""mi baby""",3,mi,baby
"""el concert""",3,el,concert
"""la shit""",3,la,shit
"""apoyo zombers""",3,apoyo,zombers
"""el like""",3,el,like
"""joda to""",3,joda,to
"""el booty""",3,el,booty
"""el flow""",3,el,flow
"""mi mood""",3,mi,mood
"""no i""",3,no,i
"""yo lol""",3,yo,lol
"""si i""",3,si,i
"""pedo lol""",3,pedo,lol
"""dice i""",3,dice,i
"""la website""",3,la,website
"""es shadow""",3,es,shadow
"""el header""",3,el,header
"""mi sis""",3,mi,sis
"""jajaja lmao""",3,jajaja,lmao
"""mi cell""",3,mi,cell
"""jajajaja it""",3,jajajaja,it
"""tejano artists""",3,tejano,artists
"""jajajajaja lmao""",3,jajajajaja,lmao
""": lol""",3,:,lol
"""jajajajaja i""",3,jajajajaja,i
"""de outfit""",3,de,outfit
"""sueño :""",3,sueño,:
"""de math""",3,de,math
"""estar home""",3,estar,home
"""un challenge""",3,un,challenge
"""nuevo single""",3,nuevo,single
"""la play""",3,la,play
"""un vlog""",3,un,vlog
"""de look""",3,de,look
"""te has""",3,te,has
"""no has""",3,no,has
"""que has""",3,que,has
"""ver friends""",3,ver,friends
"""el freezer""",3,el,freezer
"""el hate""",3,el,hate
"""el text""",3,el,text
"""que he""",3,que,he
"""es cute""",3,es,cute
"""un shot""",3,un,shot
"""una shoulder""",3,una,shoulder
"""mejor outfit""",3,mejor,outfit
"""tienda salhuaclothing""",3,tienda,salhuaclothing
"""collar neckless""",3,collar,neckless
"""tu closet""",3,tu,closet
"""y trendy""",3,y,trendy
"""de soccer""",3,de,soccer
"""mi story""",3,mi,story
"""mi uni""",3,mi,uni
"""bien nasty""",3,bien,nasty
"""que cuteeee""",3,que,cuteeee
"""super cool""",3,super,cool
"""con discretion""",3,con,discretion
"""bien active""",3,bien,active
"""el work""",3,el,work
"""un hit""",3,un,hit
"""moda fashion""",3,moda,fashion
"""super fashion""",3,super,fashion
"""de football""",3,de,football
"""tu stylist""",3,tu,stylist
"""los looks""",3,los,looks
"""y happy""",3,y,happy
"""el latingrammy""",3,el,latingrammy
"""próximo show""",3,próximo,show
"""esta techtrivia""",3,esta,techtrivia
"""de my""",3,de,my
"""con droidturbo""",3,con,droidturbo
"""una red""",3,una,red
"""tus tweets""",3,tus,tweets
"""de motivation""",3,de,motivation
"""elvacilondelagatita monday""",3,elvacilondelagatita,monday
"""este memorialweekend""",3,este,memorialweekend
"""elvacilondelagatita morningwin""",3,elvacilondelagatita,morningwin
"""de break""",3,de,break
"""no fucking""",3,no,fucking
"""la high""",3,la,high
"""de to""",3,de,to
